timestamps,open,high,close,low,volume,amount
2013/7/29,2.633,2.640,2.626,2.614,140433577,369215419
2013/7/30,2.632,2.648,2.646,2.632,92993109,245720397
2013/7/31,2.643,2.659,2.657,2.640,69976156,185580104
2013/8/1,2.653,2.656,2.643,2.635,30006438,79324519
2013/8/2,2.630,2.632,2.578,2.558,33021891,85778129
2013/8/5,2.621,2.642,2.630,2.621,24012032,63166351
2013/8/6,2.620,2.620,2.591,2.586,22336052,58084510
2013/8/7,2.562,2.582,2.574,2.560,19501857,50050021
2013/8/8,2.588,2.597,2.586,2.583,12626896,32693272
2013/8/9,2.625,2.630,2.616,2.611,13213795,34637968
2013/8/12,2.656,2.660,2.659,2.649,19916360,52878978
2013/8/13,2.662,2.680,2.675,2.658,14718160,39244984
2013/8/14,2.640,2.652,2.640,2.637,11130351,29422493
2013/8/15,2.680,2.689,2.680,2.674,17191989,46071956
2013/8/16,2.730,2.743,2.712,2.710,18664881,50870624
2013/8/19,2.740,2.752,2.737,2.733,14228539,39063110
2013/8/20,2.725,2.729,2.705,2.699,8921362,24188967
2013/8/21,2.720,2.734,2.724,2.718,6369008,17360250
2013/8/22,2.717,2.721,2.714,2.710,4756443,12908053
2013/8/23,2.731,2.737,2.733,2.724,9361162,25579826
2013/8/26,2.770,2.781,2.772,2.765,8727286,24191025
2013/8/27,2.772,2.782,2.779,2.771,6336802,17597326
2013/8/28,2.810,2.837,2.827,2.800,14239869,40124193
2013/8/29,2.808,2.808,2.796,2.784,7396574,20657726
2013/8/30,2.781,2.798,2.787,2.781,8631178,24067701
2013/9/2,2.770,2.775,2.767,2.761,6896895,19087470
2013/9/3,2.770,2.770,2.762,2.760,3896815,10769305
2013/9/4,2.791,2.802,2.787,2.784,9480610,26491338
2013/9/5,2.765,2.767,2.751,2.745,5750474,15841541
2013/9/6,2.730,2.730,2.725,2.719,6594294,17973865
2013/9/9,2.751,2.761,2.756,2.751,4079357,11246274
2013/9/10,2.756,2.756,2.742,2.737,9294001,25512955
2013/9/11,2.712,2.722,2.722,2.700,5937809,16104834
2013/9/12,2.714,2.714,2.682,2.676,4885575,13180908
2013/9/13,2.655,2.655,2.622,2.608,9302931,24509099
2013/9/16,2.636,2.647,2.631,2.631,4727727,12488037
2013/9/17,2.615,2.616,2.609,2.604,4041727,10552216
2013/9/18,2.585,2.590,2.589,2.568,9692651,24994132
2013/9/23,2.618,2.636,2.629,2.609,7860273,20603288
2013/9/24,2.628,2.633,2.622,2.621,5245488,13793657
2013/9/25,2.622,2.633,2.629,2.621,3117444,8191142
2013/9/26,2.636,2.644,2.632,2.631,3558817,9385271
2013/9/27,2.625,2.626,2.622,2.618,5737501,15045611
2013/9/30,2.633,2.650,2.649,2.633,3166558,8377748
2013/10/8,2.638,2.638,2.630,2.626,3119827,8203747
2013/10/9,2.625,2.625,2.615,2.612,4958316,12967363
2013/10/10,2.588,2.598,2.595,2.588,4941113,12809231
2013/10/11,2.574,2.576,2.569,2.566,6301104,16193471
2013/10/14,2.540,2.543,2.543,2.532,7780725,19735928
2013/10/15,2.538,2.539,2.533,2.529,9691603,24561294
2013/10/16,2.540,2.550,2.549,2.538,10926177,27813807
2013/10/17,2.552,2.555,2.531,2.525,4716629,11973287
2013/10/18,2.591,2.606,2.605,2.591,12044691,31287651
2013/10/21,2.600,2.608,2.608,2.560,5543057,14395730
2013/10/22,2.589,2.595,2.595,2.586,2821310,7308767
2013/10/23,2.623,2.637,2.624,2.621,5489447,14437500
2013/10/24,2.626,2.626,2.624,2.614,4725435,12392309
2013/10/25,2.624,2.631,2.619,2.616,3593692,9431930
2013/10/28,2.634,2.638,2.626,2.624,13332469,35073919
2013/10/29,2.632,2.645,2.639,2.630,5023958,13246586
2013/10/30,2.620,2.634,2.631,2.612,4521849,11852405
2013/10/31,2.618,2.620,2.613,2.607,1966879,5144079
2013/11/1,2.595,2.603,2.602,2.589,2440723,6336936
2013/11/4,2.603,2.603,2.584,2.580,5231883,13528022
2013/11/5,2.585,2.589,2.582,2.578,3757852,9704347
2013/11/6,2.579,2.580,2.578,2.570,2367648,6101922
2013/11/7,2.580,2.589,2.589,2.579,2269500,5865485
2013/11/8,2.580,2.580,2.573,2.565,2525769,6487039
2013/11/11,2.535,2.535,2.529,2.523,5121855,12952710
2013/11/12,2.527,2.527,2.517,2.511,6627677,16684276
2013/11/13,2.503,2.505,2.501,2.496,4315885,10788173
2013/11/14,2.506,2.523,2.516,2.506,4446858,11180836
2013/11/15,2.521,2.532,2.526,2.519,3751744,9485611
2013/11/18,2.529,2.529,2.527,2.515,3623036,9147981
2013/11/19,2.520,2.520,2.501,2.496,5072062,12676373
2013/11/20,2.501,2.508,2.508,2.500,3838639,9620056
2013/11/21,2.488,2.489,2.463,2.461,5986667,14752285
2013/11/22,2.463,2.463,2.458,2.453,9728284,23884000
2013/11/25,2.457,2.457,2.437,2.433,6220043,15217224
2013/11/26,2.449,2.465,2.465,2.449,8938921,21986002
2013/11/27,2.450,2.460,2.453,2.446,5079390,12442511
2013/11/28,2.446,2.448,2.440,2.439,11876280,29016605
2013/11/29,2.440,2.446,2.443,2.440,5352364,13075825
2013/12/2,2.444,2.454,2.450,2.444,4013860,9824568
2013/12/3,2.421,2.423,2.411,2.404,7018050,16895692
2013/12/4,2.411,2.411,2.408,2.404,9073977,21832444
2013/12/5,2.431,2.435,2.429,2.410,11311219,27447013
2013/12/6,2.416,2.420,2.418,2.411,6066461,14651773
2013/12/9,2.424,2.427,2.425,2.417,5340691,12928440
2013/12/10,2.430,2.445,2.445,2.424,5382939,13123441
2013/12/11,2.461,2.465,2.462,2.450,5159406,12680502
2013/12/12,2.454,2.456,2.450,2.448,3571456,8759018
2013/12/13,2.415,2.415,2.410,2.404,7463546,17972503
2013/12/16,2.412,2.417,2.411,2.409,4697154,11336049
2013/12/17,2.419,2.441,2.438,2.417,7037515,17084126
2013/12/18,2.420,2.423,2.419,2.411,5882943,14236918
2013/12/19,2.413,2.413,2.400,2.393,5242956,12581426
2013/12/20,2.371,2.372,2.342,2.342,5200302,12241838
2013/12/23,2.355,2.369,2.366,2.354,5651278,13339387
2013/12/24,2.357,2.370,2.366,2.355,5956602,14085139
2013/12/25,2.361,2.380,2.376,2.361,5292706,12564635
2013/12/26,2.376,2.382,2.377,2.369,3120847,7419580
2013/12/27,2.380,2.405,2.401,2.380,2678399,6414319
2013/12/30,2.402,2.402,2.377,2.375,2035076,4866385
2013/12/31,2.366,2.380,2.376,2.366,4401338,10447337
2014/1/2,2.389,2.408,2.403,2.381,3141513,7533644
2014/1/3,2.413,2.425,2.424,2.411,3824667,9242622
2014/1/6,2.437,2.445,2.435,2.410,4816721,11737239
2014/1/7,2.430,2.445,2.442,2.430,5129854,12525110
2014/1/8,2.415,2.422,2.411,2.410,2095733,5062486
2014/1/9,2.410,2.420,2.412,2.410,2028533,4891434
2014/1/10,2.414,2.432,2.428,2.414,2530411,6131493
2014/1/13,2.451,2.458,2.448,2.446,2339667,5742569
2014/1/14,2.449,2.457,2.455,2.449,1755747,4308451
2014/1/15,2.440,2.442,2.434,2.427,1803048,4386132
2014/1/16,2.432,2.439,2.437,2.430,2087118,5077849
2014/1/17,2.434,2.438,2.435,2.434,2566126,6252599
2014/1/20,2.436,2.461,2.459,2.436,1958602,4815435
2014/1/21,2.456,2.457,2.451,2.451,1958163,4805098
2014/1/22,2.439,2.439,2.432,2.428,1528407,3718872
2014/1/23,2.428,2.428,2.426,2.415,2698497,6528089
2014/1/24,2.458,2.469,2.460,2.458,3387500,8341125
2014/1/27,2.470,2.487,2.476,2.470,3390378,8413307
2014/1/28,2.468,2.470,2.463,2.442,5135338,12644872
2014/1/29,2.452,2.464,2.455,2.450,4412360,10824403
2014/1/30,2.465,2.474,2.461,2.459,3317500,8177206
2014/2/7,2.461,2.486,2.480,2.414,5862077,14400251
2014/2/10,2.490,2.501,2.501,2.485,4295022,10721038
2014/2/11,2.508,2.524,2.515,2.508,3289786,8278028
2014/2/12,2.519,2.521,2.521,2.509,2803470,7055295
2014/2/13,2.523,2.523,2.517,2.514,2973473,7491333
2014/2/14,2.531,2.553,2.552,2.531,3616930,9213427
2014/2/17,2.592,2.600,2.596,2.582,3716180,9633252
2014/2/18,2.596,2.596,2.570,2.558,6234395,16066056
2014/2/19,2.568,2.576,2.575,2.568,2882495,7416553
2014/2/20,2.563,2.573,2.566,2.556,3261330,8357379
2014/2/21,2.566,2.587,2.582,2.566,3007713,7758690
2014/2/24,2.570,2.599,2.599,2.570,4063549,10517777
2014/2/25,2.609,2.618,2.612,2.608,2705128,7067536
2014/2/26,2.617,2.652,2.651,2.617,3659818,9631037
2014/2/27,2.639,2.640,2.602,2.595,7466620,19445533
2014/2/28,2.611,2.625,2.621,2.611,2955879,7747748
2014/3/3,2.643,2.654,2.651,2.643,2562590,6788190
2014/3/4,2.675,2.704,2.643,2.640,5511249,14703596
2014/3/5,2.626,2.637,2.624,2.621,3253788,8549536
2014/3/6,2.624,2.650,2.623,2.618,3220321,8477390
2014/3/7,2.648,2.652,2.649,2.642,1664309,4405917
2014/3/10,2.625,2.625,2.610,2.600,5192927,13560415
2014/3/11,2.615,2.642,2.641,2.615,2781444,7313910
2014/3/12,2.651,2.678,2.668,2.651,2780065,7415915
2014/3/13,2.689,2.704,2.694,2.689,3129330,8443842
2014/3/14,2.705,2.710,2.692,2.690,2321601,6263647
2014/3/17,2.701,2.722,2.722,2.701,2618133,7107938
2014/3/18,2.704,2.704,2.686,2.673,3829756,10268808
2014/3/19,2.670,2.684,2.680,2.668,2212494,5923933
2014/3/20,2.640,2.652,2.647,2.638,1557214,4121288
2014/3/21,2.659,2.659,2.647,2.645,2432902,6447109
2014/3/24,2.650,2.650,2.640,2.633,3217910,8492673
2014/3/25,2.624,2.624,2.608,2.602,2917327,7605013
2014/3/26,2.623,2.623,2.614,2.609,1253960,3275810
2014/3/27,2.605,2.606,2.580,2.580,2138750,5546857
2014/3/28,2.574,2.588,2.588,2.573,2938468,7583561
2014/3/31,2.570,2.587,2.573,2.570,2518663,6495078
2014/4/1,2.564,2.564,2.555,2.552,2203989,5632700
2014/4/2,2.553,2.561,2.561,2.552,1353613,3460223
2014/4/3,2.571,2.581,2.573,2.570,967558,2489604
2014/4/4,2.559,2.573,2.564,2.557,1178101,3018561
2014/4/8,2.580,2.607,2.606,2.580,3553820,9200829
2014/4/9,2.609,2.615,2.610,2.606,2097806,5475162
2014/4/10,2.620,2.620,2.618,2.612,1884868,4930264
2014/4/11,2.603,2.625,2.620,2.603,2274045,5963882
2014/4/14,2.629,2.649,2.649,2.629,2516896,6644342
2014/4/15,2.646,2.646,2.610,2.410,2873834,7557597
2014/4/16,2.585,2.590,2.590,2.573,1139684,2941806
2014/4/17,2.604,2.604,2.586,2.580,1838264,4764124
2014/4/18,2.590,2.590,2.579,2.575,1804490,4655819
2014/4/21,2.575,2.575,2.565,2.558,3285982,8420441
2014/4/22,2.561,2.579,2.577,2.561,1210900,3105415
2014/4/23,2.567,2.582,2.575,2.566,1337099,3434607
2014/4/24,2.575,2.577,2.573,2.567,2040702,5244711
2014/4/25,2.585,2.596,2.590,2.585,2429920,6295861
2014/4/28,2.613,2.635,2.631,2.613,2327696,6117071
2014/4/29,2.628,2.628,2.603,2.599,2769118,7217447
2014/4/30,2.605,2.615,2.612,2.602,1722206,4493227
2014/5/5,2.632,2.634,2.624,2.616,2540455,6667665
2014/5/6,2.627,2.630,2.626,2.616,1167839,3067458
2014/5/7,2.614,2.631,2.625,2.614,562448,1477853
2014/5/8,2.590,2.596,2.587,2.582,1213007,3140341
2014/5/9,2.592,2.592,2.588,2.580,599964,1552198
2014/5/12,2.586,2.593,2.593,2.570,1432097,3704240
2014/5/13,2.592,2.602,2.595,2.582,2719204,7061519
2014/5/14,2.596,2.600,2.598,2.588,3202388,8319751
2014/5/15,2.610,2.612,2.610,2.602,1635370,4266697
2014/5/16,2.595,2.598,2.594,2.591,1181301,3066322
2014/5/19,2.586,2.602,2.596,2.585,4212217,10938459
2014/5/20,2.596,2.596,2.593,2.592,1835764,4762117
2014/5/21,2.599,2.600,2.594,2.585,2762510,7171543
2014/5/22,2.591,2.598,2.597,2.590,2554200,6621861
2014/5/23,2.601,2.601,2.597,2.596,1642210,4267984
2014/5/26,2.590,2.596,2.594,2.588,3191220,8276273
2014/5/27,2.594,2.596,2.589,2.585,3263000,8458344
2014/5/28,2.575,2.575,2.553,2.551,4110891,10498565
2014/5/29,2.558,2.558,2.526,2.526,2769200,7030654
2014/5/30,2.546,2.546,2.535,2.531,1938851,4911852
2014/6/3,2.526,2.526,2.517,2.508,3874230,9730202
2014/6/4,2.511,2.516,2.514,2.511,2863800,7197898
2014/6/5,2.515,2.515,2.510,2.509,3828500,9612800
2014/6/6,2.522,2.531,2.530,2.522,3522500,8901507
2014/6/9,2.531,2.531,2.522,2.520,4857300,12257305
2014/6/10,2.520,2.525,2.521,2.516,4028410,10156587
2014/6/11,2.528,2.533,2.530,2.527,8198808,20740983
2014/6/12,2.529,2.533,2.530,2.526,7060914,17860610
2014/6/13,2.547,2.549,2.544,2.539,887301,2257693
2014/6/16,2.551,2.559,2.555,2.544,7320801,18651775
2014/6/17,2.550,2.552,2.536,2.534,10046424,25555563
2014/6/18,2.544,2.544,2.534,2.534,6234922,15842720
2014/6/19,2.542,2.560,2.556,2.542,3597687,9178306
2014/6/20,2.611,2.630,2.627,2.610,2396490,6288455
2014/6/23,2.604,2.638,2.637,2.604,1593623,4191746
2014/6/24,2.634,2.637,2.637,2.629,6634645,17465307
2014/6/25,2.628,2.640,2.629,2.625,7941783,20874181
