timestamps,open,high,close,low,volume,amount
1993-01-04,5512.9000,5512.9000,5437.8000,5431.3000,26313424,143087137027.20
1993-01-05,5444.3000,5563.3000,5548.0000,5444.3000,52512944,291341813312.00
1993-01-06,5556.1000,5596.8000,5586.7000,5534.9000,69349024,387432192380.80
1993-01-07,5585.0000,5585.0000,5547.3000,5524.5000,55276960,306637880208.00
1993-01-08,5539.1000,5552.4000,5529.6000,5524.2000,41420208,229037182156.80
1993-01-11,5577.7000,5673.1000,5673.1000,5577.7000,74419888,422191466612.80
1993-01-12,5673.7000,5716.8000,5671.3000,5658.2000,91738672,520277530513.60
1993-01-13,5694.9000,5796.7000,5778.7000,5694.9000,130261168,752740211521.60
1993-01-14,5761.6000,5890.2000,5890.2000,5749.8000,131245968,773065000713.60
1993-01-15,5878.2000,5904.5000,5871.8000,5815.7000,110154096,646802820892.80
1993-01-18,5864.0000,5897.4000,5882.0000,5825.0000,69385072,408122993504.00
1993-01-19,5882.0000,5904.7000,5897.9000,5841.9000,78986384,465853794193.60
1993-01-20,5897.3000,5902.1000,5877.0000,5854.1000,79249584,465749805168.00
1993-01-21,5874.9000,5936.2000,5914.4000,5857.4000,76522800,452586448320.00
1993-01-26,5948.8000,5970.5000,5923.7000,5912.0000,60311120,357264981544.00
1993-01-27,5923.7000,5959.8000,5939.9000,5902.3000,61860928,367447726227.20
1993-01-28,5918.2000,5918.2000,5804.5000,5788.6000,81379936,472369838512.00
1993-01-29,5785.5000,5785.5000,5751.4000,5679.4000,85783760,493376717264.00
1993-02-01,5743.3000,5743.3000,5697.8000,5677.1000,59074992,336597489417.60
1993-02-02,5693.3000,5719.2000,5662.5000,5661.3000,61704656,349402614600.00
1993-02-03,5662.5000,5728.7000,5710.8000,5662.5000,53647376,306369434860.80
1993-02-04,5723.5000,5787.2000,5778.0000,5723.5000,57016000,329438448000.00
1993-02-05,5787.3000,5826.1000,5747.2000,5728.8000,70087024,402804144332.80
1993-02-08,5742.3000,5786.7000,5786.7000,5706.6000,46911264,271461411388.80
1993-02-09,5791.1000,5815.0000,5789.5000,5775.1000,44272720,256316912440.00
1993-02-10,5782.2000,5843.6000,5835.6000,5772.4000,51124288,298340895052.80
1993-02-11,5833.4000,5867.1000,5857.0000,5833.4000,49724048,291233749136.00
1993-02-12,5854.5000,5860.6000,5858.2000,5819.9000,51167136,299747316115.20
1993-02-15,5874.7000,6058.5000,6049.4000,5874.7000,109535120,662621754928.00
1993-02-16,6049.0000,6124.4000,6065.6000,5982.1000,152255600,923521567360.00
1993-02-17,6044.5000,6142.1000,6087.5000,6029.5000,107988400,657379385000.00
1993-02-18,6093.7000,6199.1000,6186.9000,6093.7000,126926000,785278469400.00
1993-02-19,6243.3000,6269.0000,6170.1000,6152.3000,128595856,793449291105.60
1993-02-22,6100.2000,6231.9000,6231.9000,6090.4000,69871056,435429433886.40
