timestamps,open,high,close,low,volume,amount
2014/12/31,3000.00,3000.00,3000.00,3000.00,121887276,1458966900
2015/1/2,3006.61,3006.61,3006.61,3006.61,143304860,1595797900
2015/1/5,3007.64,3007.64,3007.64,3007.64,356007420,3440687500
2015/1/6,3002.18,3002.18,3002.18,3002.18,374154840,5956527600
2015/1/7,3024.34,3024.34,3024.34,3024.34,387202320,6993777300
2015/1/8,3052.52,3052.52,3052.52,3052.52,294199520,6132712100
2015/1/9,3063.38,3063.38,3063.38,3063.38,424852120,5724744600
2015/1/12,3047.07,3047.07,3047.07,3047.07,274628180,2993902200
2015/1/13,3053.30,3053.30,3053.30,3053.30,265623880,3014884900
2015/1/14,3056.21,3056.21,3056.21,3056.21,257568840,3205893100
2015/1/15,3065.58,3065.58,3065.58,3065.58,234348580,2686383200
2015/1/16,3031.14,3031.14,3031.14,3031.14,421495080,4194288200
2015/1/19,2988.56,2988.56,2988.56,2988.56,329250730,3387664700
2015/1/20,3001.73,3001.73,3001.73,3001.73,237040400,2213652000
2015/1/21,3046.01,3046.01,3046.01,3046.01,301376500,5626226500
2015/1/22,3023.55,3023.55,3023.55,3023.55,296970630,6043986900
2015/1/23,3041.28,3041.28,3041.28,3041.28,294030300,5007986600
2015/1/26,3080.96,3080.96,3080.96,3080.96,420105580,6064753700
2015/1/27,3087.11,3087.11,3087.11,3087.11,238943030,4515003800
2015/1/28,3128.68,3128.68,3128.68,3128.68,205701100,3332599400
2015/1/29,3095.40,3095.40,3095.40,3095.40,252818330,3260026900
2015/1/30,3059.80,3059.80,3059.80,3059.80,219025800,4876029500
2015/2/2,3039.75,3039.75,3039.75,3039.75,427588630,3359502200
2015/2/3,3098.28,3098.28,3098.28,3098.28,399915580,4276942600
2015/2/4,3128.76,3128.76,3128.76,3128.76,342504950,3814437400
2015/2/5,3104.84,3104.84,3104.84,3104.84,335287450,3788942500
2015/2/6,3103.54,3103.54,3103.54,3103.54,189176120,2392701900
2015/2/9,3075.58,3075.58,3075.58,3075.58,249932390,2601529200
2015/2/10,3077.02,3077.02,3077.02,3077.02,520879110,3254681000
2015/2/11,3081.60,3081.60,3081.60,3081.60,306751170,2880770400
2015/2/12,3093.91,3093.91,3093.91,3093.91,292246930,4372661100
2015/2/13,3122.64,3122.64,3122.64,3122.64,487033630,3226362200
2015/2/16,3149.18,3149.18,3149.18,3149.18,286111020,2138897300
2015/2/17,3146.67,3146.67,3146.67,3146.67,148193430,1530736500
2015/2/18,3122.04,3122.04,3122.04,3122.04,328816950,1435395400
2015/2/23,3164.48,3164.48,3164.48,3164.48,267224230,4120259700
2015/2/24,3171.66,3171.66,3171.66,3171.66,245459790,2978971000
2015/2/25,3191.71,3191.71,3191.71,3191.71,227130630,3425929000
2015/2/26,3194.79,3194.79,3194.79,3194.79,337048550,3691599700
2015/2/27,3201.06,3201.06,3201.06,3201.06,229473120,3443673300
2015/3/2,3210.65,3210.65,3210.65,3210.65,192585420,2651583200
2015/3/3,3194.35,3194.35,3194.35,3194.35,153425130,3199142700
2015/3/4,3224.50,3224.50,3224.50,3224.50,167876600,2936341400
2015/3/5,3215.44,3215.44,3215.44,3215.44,180516220,2717062200
2015/3/6,3292.83,3292.83,3292.83,3292.83,246253330,3508929000
2015/3/9,3289.42,3289.42,3289.42,3289.42,234357030,3174699500
2015/3/10,3249.02,3249.02,3249.02,3249.02,278341130,3100758100
2015/3/11,3234.76,3234.76,3234.76,3234.76,164933070,2907852300
2015/3/12,3254.53,3254.53,3254.53,3254.53,182029030,3216786500
2015/3/13,3216.76,3216.76,3216.76,3216.76,274012650,3506058200
2015/3/16,3256.91,3256.91,3256.91,3256.91,293546700,4519318700
2015/3/17,3258.64,3258.64,3258.64,3258.64,247939710,3818679600
2015/3/18,3263.04,3263.04,3263.04,3263.04,416502740,4467171400
2015/3/19,3302.89,3302.89,3302.89,3302.89,251959100,10044000400
2015/3/20,3378.42,3378.42,3378.42,3378.42,603653140,13025429800
2015/3/23,3430.30,3430.30,3430.30,3430.30,236973740,5769828900
2015/3/24,3465.76,3465.76,3465.76,3465.76,531839950,4874307000
2015/3/25,3480.32,3480.32,3480.32,3480.32,606661370,5152705700
2015/3/26,3456.42,3456.42,3456.42,3456.42,312007420,5278944000
2015/3/27,3411.04,3411.04,3411.04,3411.04,256592410,3882926900
2015/3/30,3550.30,3550.30,3550.30,3550.30,1034783990,6926808000
2015/3/31,3575.44,3575.44,3575.44,3575.44,584128770,5997068000
2015/4/1,3637.20,3637.20,3637.20,3637.20,748369890,4962887400
2015/4/2,3725.83,3725.83,3725.83,3725.83,721680460,5319752300
2015/4/8,4129.48,4129.48,4129.48,4129.48,2582395200,14267038000
2015/4/9,4195.45,4195.45,4195.45,4195.45,2689461300,20165251000
2015/4/10,4228.74,4228.74,4228.74,4228.74,1225811200,11152999500
2015/4/13,4347.38,4347.38,4347.38,4347.38,1739386700,12686514200
2015/4/14,4195.00,4195.00,4195.00,4195.00,1237715800,13638005000
2015/4/15,4404.19,4404.19,4404.19,4404.19,1202703060,14103737000
2015/4/16,4410.75,4410.75,4410.75,4410.75,1004477520,8957790300
2015/4/17,4227.24,4227.24,4227.24,4227.24,1392850900,7317366000
2015/4/20,4141.12,4141.12,4141.12,4141.12,834920280,8463693100
2015/4/21,4342.58,4342.58,4342.58,4342.58,926726030,7254433200
2015/4/22,4503.27,4503.27,4503.27,4503.27,867646970,7971864000
2015/4/23,4452.65,4452.65,4452.65,4452.65,702226720,6800369300
2015/4/24,4441.26,4441.26,4441.26,4441.26,599757050,5908585800
2015/4/27,4491.02,4491.02,4491.02,4491.02,473542750,5488649500
2015/4/28,4480.37,4480.37,4480.37,4480.37,423731170,5952670100
2015/4/29,4525.78,4525.78,4525.78,4525.78,688467490,6644876000
2015/4/30,4477.89,4477.89,4477.89,4477.89,474518020,6105264100
2015/5/4,4449.32,4449.32,4449.32,4449.32,612634530,6133680300
2015/5/5,4389.89,4389.89,4389.89,4389.89,550048750,6002888800
2015/5/6,4290.09,4290.09,4290.09,4290.09,551362140,5526094800
2015/5/7,4164.95,4164.95,4164.95,4164.95,746546770,5556427600
2015/5/8,4358.88,4358.88,4358.88,4358.88,652525290,5274184500
2015/5/11,4481.27,4481.27,4481.27,4481.27,664779120,6395383200
2015/5/12,4370.54,4370.54,4370.54,4370.54,457281280,6047861200
2015/5/13,4503.60,4503.60,4503.60,4503.60,361461370,6418528900
2015/5/14,4537.44,4537.44,4537.44,4537.44,515795220,7917065200
2015/5/15,4560.69,4560.69,4560.69,4560.69,389437620,5625454200
2015/5/18,4662.76,4662.76,4662.76,4662.76,493835580,5790132700
2015/5/19,4691.97,4691.97,4691.97,4691.97,460113380,5270303500
2015/5/20,4719.87,4719.87,4719.87,4719.87,408983960,6212332000
2015/5/21,4635.55,4635.55,4635.55,4635.55,400931700,4761155900
2015/5/22,4610.49,4610.49,4610.49,4610.49,482382830,5011628300
2015/5/26,4715.23,4715.23,4715.23,4715.23,1602314100,7669020200
2015/5/27,4656.84,4656.84,4656.84,4656.84,705861680,5464824800
2015/5/28,4582.42,4582.42,4582.42,4582.42,1084593930,7211901600
2015/5/29,4655.64,4655.64,4655.64,4655.64,876030010,7339884700
2015/6/1,4717.96,4717.96,4717.96,4717.96,525648570,4380142000
2015/6/2,4661.94,4661.94,4661.94,4661.94,739121660,4493460400
2015/6/3,4582.60,4582.60,4582.60,4582.60,447856890,3838226400
2015/6/4,4495.01,4495.01,4495.01,4495.01,755165240,9195399000
2015/6/5,4411.95,4411.95,4411.95,4411.95,429699360,4390355300
2015/6/8,4324.05,4324.05,4324.05,4324.05,575350830,4460409900
2015/6/9,4184.25,4184.25,4184.25,4184.25,466416160,4651075900
2015/6/10,4199.95,4199.95,4199.95,4199.95,646531780,4515480900
2015/6/11,4248.67,4248.67,4248.67,4248.67,343909080,3760696300
2015/6/12,4301.08,4301.08,4301.08,4301.08,318781700,3702504500
2015/6/15,4197.13,4197.13,4197.13,4197.13,446073030,3528127000
2015/6/16,4133.03,4133.03,4133.03,4133.03,369874150,3394278300
2015/6/17,4230.21,4230.21,4230.21,4230.21,269330520,3722460500
2015/6/18,4268.24,4268.24,4268.24,4268.24,226452170,3233735300
2015/6/19,4221.03,4221.03,4221.03,4221.03,310376880,4013714200
2015/6/22,4253.66,4253.66,4253.66,4253.66,173267290,3193339800
2015/6/23,4335.57,4335.57,4335.57,4335.57,353123330,3798391000
2015/6/24,4371.45,4371.45,4371.45,4371.45,1245455960,5743625300
2015/6/25,4331.65,4331.65,4331.65,4331.65,851660900,4228050900
2015/6/26,4214.04,4214.04,4214.04,4214.04,600650410,4908218400
2015/6/29,3983.46,3983.46,3983.46,3983.46,840719730,7401293000
2015/6/30,4065.13,4065.13,4065.13,4065.13,663819970,5715287900
2015/7/2,3966.10,3966.10,3966.10,3966.10,414784610,5565975100
2015/7/3,3787.32,3787.32,3787.32,3787.32,764715110,4817506700
2015/7/6,3476.87,3476.87,3476.87,3476.87,1305189290,11639104600
2015/7/7,3264.89,3264.89,3264.89,3264.89,876571050,7090075500
2015/7/8,3062.32,3062.32,3062.32,3062.32,1478717400,14621533000
2015/7/9,3506.71,3506.71,3506.71,3506.71,978080720,10537577200
2015/7/10,3635.50,3635.50,3635.50,3635.50,698971180,8486827900
2015/7/13,3719.99,3719.99,3719.99,3719.99,367909780,4516045500
2015/7/14,3724.37,3724.37,3724.37,3724.37,370161680,4879075700
2015/7/15,3617.03,3617.03,3617.03,3617.03,313712800,3987365400
2015/7/16,3690.37,3690.37,3690.37,3690.37,307943910,3571179200
2015/7/17,3769.96,3769.96,3769.96,3769.96,269928640,3634051800
2015/7/20,3792.88,3792.88,3792.88,3792.88,217165430,3862720800
2015/7/21,3777.34,3777.34,3777.34,3777.34,224973550,2788949900
2015/7/22,3676.57,3676.57,3676.57,3676.57,210383600,3055366900
2015/7/23,3734.09,3734.09,3734.09,3734.09,263467660,3021861600
2015/7/24,3721.84,3721.84,3721.84,3721.84,240545000,2945028200
2015/7/27,3454.36,3454.36,3454.36,3454.36,697171170,5369846300
2015/7/28,3460.87,3460.87,3460.87,3460.87,555317800,5227621500
2015/7/29,3468.94,3468.94,3468.94,3468.94,387541000,4730588900
2015/7/30,3415.23,3415.23,3415.23,3415.23,298341950,3644123400
2015/7/31,3407.45,3407.45,3407.45,3407.45,288229370,3416995500
2015/8/3,3328.61,3328.61,3328.61,3328.61,2777961900,4220995600
2015/8/4,3322.09,3322.09,3322.09,3322.09,1373936200,4117634900
2015/8/5,3342.36,3342.36,3342.36,3342.36,1408789100,3247666600
2015/8/6,3300.42,3300.42,3300.42,3300.42,740150620,3173353500
2015/8/7,3330.94,3330.94,3330.94,3330.94,1807187100,3320923800
2015/8/10,3413.05,3413.05,3413.05,3413.05,946950850,3176435600
2015/8/11,3395.52,3395.52,3395.52,3395.52,868023900,4126439900
2015/8/12,3336.38,3336.38,3336.38,3336.38,500244300,6700144000
2015/8/13,3340.85,3340.85,3340.85,3340.85,767442290,7781355300
2015/8/14,3312.57,3312.57,3312.57,3312.57,682239880,3865208300
2015/8/17,3281.27,3281.27,3281.27,3281.27,450816150,3578803200
2015/8/18,3172.18,3172.18,3172.18,3172.18,620678470,3468089800
2015/8/19,3135.75,3135.75,3135.75,3135.75,526860980,3879720800
2015/8/20,3017.08,3017.08,3017.08,3017.08,472785170,5262758900
2015/8/21,2914.58,2914.58,2914.58,2914.58,701651500,6841611900
2015/8/24,2697.35,2697.35,2697.35,2697.35,1171666130,8773251700
2015/8/25,2749.46,2749.46,2749.46,2749.46,1229280340,9841431500
2015/8/26,2762.53,2762.53,2762.53,2762.53,523925940,6202899800
2015/8/27,2954.32,2954.32,2954.32,2954.32,670942220,7989378300
2015/8/28,2968.93,2968.93,2968.93,2968.93,502315530,6692271000
2015/8/31,2925.54,2925.54,2925.54,2925.54,401274930,3923529600
2015/9/1,2868.30,2868.30,2868.30,2868.30,288250440,3783905300
2015/9/2,2850.16,2850.16,2850.16,2850.16,364226470,4784670100
2015/9/4,2893.21,2893.21,2893.21,2893.21,301429980,3583488500
2015/9/7,2875.66,2875.66,2875.66,2875.66,246284870,3534517300
2015/9/8,2996.65,2996.65,2996.65,2996.65,366227290,4204105700
2015/9/9,3059.48,3059.48,3059.48,3059.48,990309720,5403790100
2015/9/10,3003.88,3003.88,3003.88,3003.88,414127830,3600836900
2015/9/11,3002.57,3002.57,3002.57,3002.57,359728830,4118199900
2015/9/14,2970.07,2970.07,2970.07,2970.07,260830410,2538913700
2015/9/15,2968.99,2968.99,2968.99,2968.99,355017570,3357546600
2015/9/16,3063.18,3063.18,3063.18,3063.18,654272750,4856104400
2015/9/17,3097.81,3097.81,3097.81,3097.81,423126400,5061206300
2015/9/18,3173.32,3173.32,3173.32,3173.32,567879000,5870582800
2015/9/21,3195.99,3195.99,3195.99,3195.99,1095840670,3759758200
2015/9/22,3165.80,3165.80,3165.80,3165.80,544725900,3830204100
2015/9/23,3076.31,3076.31,3076.31,3076.31,672252390,3783804700
2015/9/24,3068.42,3068.42,3068.42,3068.42,376821720,3052487500
2015/9/25,3045.78,3045.78,3045.78,3045.78,259645840,3122039100
2015/9/29,2951.71,2951.71,2951.71,2951.71,823177310,4474403800
2015/9/30,3005.87,3005.87,3005.87,3005.87,386409820,4460719700
2015/10/2,3101.71,3101.71,3101.71,3101.71,486241300,5248199800
2015/10/5,3117.36,3117.36,3117.36,3117.36,292025370,4374989600
2015/10/6,3118.35,3118.35,3118.35,3118.35,346507900,3682065200
2015/10/7,3204.94,3204.94,3204.94,3204.94,502147500,4812950100
2015/10/8,3166.53,3166.53,3166.53,3166.53,480759530,3525376700
2015/10/9,3177.17,3177.17,3177.17,3177.17,441101170,3868915300
2015/10/12,3273.57,3273.57,3273.57,3273.57,523208110,3983463500
2015/10/13,3264.13,3264.13,3264.13,3264.13,368335190,3013941300
2015/10/14,3227.44,3227.44,3227.44,3227.44,246039940,2710690900
2015/10/15,3290.62,3290.62,3290.62,3290.62,365919900,3563139900
2015/10/16,3338.39,3338.39,3338.39,3338.39,521427300,4345995800
2015/10/19,3305.51,3305.51,3305.51,3305.51,312422950,2961840600
2015/10/20,3284.82,3284.82,3284.82,3284.82,279974150,2303785000
2015/10/22,3291.15,3291.15,3291.15,3291.15,366461130,3228407100
2015/10/23,3317.36,3317.36,3317.36,3317.36,408028300,4068526000
2015/10/26,3325.27,3325.27,3325.27,3325.27,671147590,3561124400
